TF	cell_line	n_peaks
CEBPB	HepG2	61286
CEBPB	K562	43975
CEBPB	MCF-7	32026
CEBPB	GM12878	11643
CEBPB	tibial_nerve	6486
CEBPB	neural_cell	3421
CEBPB	upper_lobe_of_left_lung	3263
CEBPB	sigmoid_colon	2494
CEBPB	gastroesophageal_sphincter	1589
CEBPB	H1-hESC	1489
CEBPB	transverse_colon	1016
CTCF	MCF-7	99527
CTCF	GM23338	90315
CTCF	foreskin_keratinocyte	76696
CTCF	H1-hESC	71137
CTCF	bipolar_neuron	69996
CTCF	epithelial_cell_of_prostate	65389
CTCF	K562	63933
CTCF	RWPE2	62590
CTCF	SK-N-SH	62261
CTCF	HCT116	60047
CTCF	choroid_plexus_epithelial_cell	59061
CTCF	neural_progenitor_cell	58860
CTCF	brain_microvascular_endothelial_cell	58807
CTCF	22Rv1	58431
CTCF	OCI-LY7	57553
EP300	HepG2	71484
EP300	K562	52288
EP300	MCF-7	32026
EP300	tibial_nerve	24559
EP300	GM12878	20207
EP300	neural_cell	17401
EP300	upper_lobe_of_left_lung	12567
EP300	sigmoid_colon	9015
EP300	gastroesophageal_sphincter	5943
EP300	H1-hESC	5441
EP300	transverse_colon	3645
EP300	esophagus_muscularis_mucosa	2539
EP300	ovary	2176
EP300	stomach	1975
EP300	suprapubic_skin	1336
FOS	HepG2	68218
FOS	K562	49134
FOS	MCF-7	32026
FOS	tibial_nerve	18815
FOS	GM12878	17196
FOS	neural_cell	13375
FOS	upper_lobe_of_left_lung	9641
FOS	sigmoid_colon	7141
FOS	gastroesophageal_sphincter	4677
FOS	H1-hESC	4047
FOS	transverse_colon	2830
FOS	esophagus_muscularis_mucosa	1978
FOS	ovary	1664
FOS	stomach	1569
FOS	suprapubic_skin	1053
FOXA1	HepG2	64511
FOXA1	K562	45933
FOXA1	MCF-7	32026
FOXA1	GM12878	13815
FOXA1	tibial_nerve	11276
FOXA1	neural_cell	6845
FOXA1	upper_lobe_of_left_lung	5713
FOXA1	sigmoid_colon	4315
FOXA1	gastroesophageal_sphincter	2824
FOXA1	H1-hESC	2422
FOXA1	transverse_colon	1783
FOXA1	esophagus_muscularis_mucosa	1243
FOXA1	ovary	1098
FOXA1	stomach	1028
IKZF1	HepG2	58744
IKZF1	K562	41087
IKZF1	MCF-7	32026
IKZF1	GM12878	9494
IKZF1	tibial_nerve	1364
JUND	HepG2	55205
JUND	SK-N-SH	49035
JUND	K562	46144
JUND	liver	36939
JUND	HCT116	21869
JUND	A549	20603
JUND	H1-hESC	20110
JUND	MCF-7	13033
JUND	T47D	8524
JUND	GM12878	7227
MAFK	HepG2	60025
MAFK	K562	42574
MAFK	MCF-7	32026
MAFK	GM12878	10475
MAFK	tibial_nerve	4043
MAFK	upper_lobe_of_left_lung	1968
MAFK	neural_cell	1863
MAFK	sigmoid_colon	1391
MYC	K562	42148
MYC	MCF_10A	40155
MYC	MCF-7	40150
MYC	A549	7961
MYC	H1-hESC	6040
POLR2A	HepG2	67589
POLR2A	K562	48601
POLR2A	MCF-7	32026
POLR2A	tibial_nerve	17519
POLR2A	GM12878	16612
POLR2A	neural_cell	12069
POLR2A	upper_lobe_of_left_lung	8968
POLR2A	sigmoid_colon	6604
POLR2A	gastroesophageal_sphincter	4368
POLR2A	H1-hESC	3778
POLR2A	transverse_colon	2657
POLR2A	esophagus_muscularis_mucosa	1865
POLR2A	ovary	1581
POLR2A	stomach	1475
RAD21	HepG2	68213
RAD21	K562	49123
RAD21	MCF-7	32026
RAD21	tibial_nerve	18796
RAD21	GM12878	17190
RAD21	neural_cell	13362
RAD21	upper_lobe_of_left_lung	9639
RAD21	sigmoid_colon	7133
RAD21	gastroesophageal_sphincter	4667
RAD21	H1-hESC	4042
RAD21	transverse_colon	2830
RAD21	esophagus_muscularis_mucosa	1976
RAD21	ovary	1663
RAD21	stomach	1569
RAD21	suprapubic_skin	1053
SP1	HepG2	59531
SP1	K562	41912
SP1	MCF-7	32026
SP1	GM12878	10005
SP1	tibial_nerve	2920
SP1	upper_lobe_of_left_lung	1397
SP1	neural_cell	1280
SP1	sigmoid_colon	1040
